segment,category,fit,organisation,contact,email_or_channel,phone,notes,sustainability_interest,sustainability_signal
Enterprise,Packaging,High,Primark GNFR,Procurement intake,IntroProcurement@primark.ie,,Goods not for resale packaging,High,Public sustainability + packaging reduction programmes
Enterprise,Packaging,High,Aldi Ireland,Grow with Aldi / Jason Carolan,grow@aldi.ie,,growwithaldi.ie,High,Grow with Aldi; packaging & climate targets
Enterprise,Packaging,High,Lidl Ireland,Packaging / responsible sourcing,LinkedIn / corporate.lidl.ie,,Packaging leads,High,Corporate responsible sourcing / packaging leads
Enterprise,Packaging,High,Dunnes Stores,Eoin Downey Procurement,customerservice@dunnesstores.com,+353 818 300066,HQ Dublin 2,High,Major retailer sustainability & packaging obligations
Enterprise,Packaging,High,Musgrave,Colm O'Siochain,musgravegroup.com/contact,+353 21 4803000,Disposables & packaging,High,Origin Green / supplier sustainability programmes
Channel,Packaging,High,Barry Packaging,Sales (boutiques & multi-store),barrypackaging.com · 066 7118200,+353 66 7118200,Serves single-outlet boutiques to chains — channel to SMEs,Med,Serves eco-minded boutiques; packaging EPR pressure
Channel,Packaging,Med,JJ O'Toole,Gary Franklin,info@jjotoole.ie; gfranklin@jjotoole.ie,+353 61 229333,Retail/hospitality packaging for SME brands,Med,Hospitality/retail packaging — sector plastic rules
Channel,Packaging,Med,Alliance Packaging (Cork),Sales,alliancepackaging.ie,,Family firm — boutique & ecomm packaging,Med,SME packaging — EPR/Repak context
Channel,Packaging,Med,Dollard Packaging,Sales,(01) 8470044,+353 1 8470044,Folding cartons — SME brands welcome,Med,Cartons sector — recycled/FSC demand rising
Channel,Packaging,Med,Repak,Membership,info@repak.ie,+353 1 4670190,Network of Irish SMEs placing packaging,High,Core mission = packaging recycling / EPR
Channel,Packaging,Med,ISME Shop Local B2B,Directory,isme.ie/shop-local,,SME association sourcing directory,Low,Network doorway — not a sustainability buyer
Channel,Packaging,Med,Retail Excellence Ireland,Membership / events,info@retailexcellence.ie,+353 65 6846927,Irish retail SME network,Med,Retail association — sustainability themes at events
Channel,Packaging,Med,Chambers Ireland / Dublin Chamber,Local chambers,info@chambers.ie; info@dublinchamber.ie,+353 1 4004300,SME intros nationwide,Low,Network doorway — not product buyer
Enterprise,Apparel,High,Primark apparel/kids,Buying teams,newsupplierqueries@primark.ie,,Kidswear + packaging,High,Same group — sustainability reporting / responsible sourcing
