id,parentId,sku,title,brand,category,subcategory,shortDescription,bulletPoints,description,materials,dimensions,weight,image,imageGallery,variantType,variantValue,kindnessScore,kindnessScoreNotes,ecoTags,searchKeywords,relatedIds,featured,inStock,price,currency,priceBasis,unit,packSize,moq,quality,productFamily,scoreVerified
psp-001,parent-hangtags-001,PSP-001,Hangtags — GRS recycled cotton paper hangtag (Style 1),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-001.png,/images/products/psp/psp-001.png,Style,Style 1,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-002|psp-003|psp-004|psp-005,TRUE,TRUE,0.091,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-002,parent-hangtags-001,PSP-002,Hangtags — GRS recycled cotton paper hangtag (Style 2),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-002.png,/images/products/psp/psp-002.png,Style,Style 2,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-001|psp-003|psp-004|psp-005,FALSE,TRUE,0.226,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-003,parent-hangtags-001,PSP-003,Hangtags — GRS recycled cotton paper hangtag (Style 3),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-003.png,/images/products/psp/psp-003.png,Style,Style 3,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-001|psp-002|psp-004|psp-005,FALSE,TRUE,0.226,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-004,parent-hangtags-001,PSP-004,Hangtags — GRS recycled cotton paper hangtag (Style 4),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-004.png,/images/products/psp/psp-004.png,Style,Style 4,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-001|psp-002|psp-003|psp-005,FALSE,TRUE,0.114,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-005,parent-hangtags-001,PSP-005,Hangtags — GRS recycled cotton paper hangtag (Style 5),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-005.png,/images/products/psp/psp-005.png,Style,Style 5,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.142,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-006,parent-hangtags-001,PSP-006,Hangtags — GRS recycled cotton paper hangtag (Style 6),KindNesta,hangtags,GRS Hangtags,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",GRS certified recycled content|Contains recycled content|Recycled cotton feedstock|Supplied in 3000 Pcs,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): GRS certified recycled content; Recycled feedstock.","100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",,,/images/products/psp/psp-006.png,/images/products/psp/psp-006.png,Style,Style 6,75,GRS certified recycled content; Recycled feedstock,grs-certified|recycled|cotton-recycled,grs-certified|recycled|cotton-recycled|hangtags|hangtags|grs hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.079,EUR,ex-works,piece,3000 Pcs,3000,"100% Cotton Recycled paper Hangtag made from Textile Cotton Waste, GRS Certified",Hangtags,FALSE
psp-007,parent-hangtags-002,PSP-007,Hangtags — Recycled paper Hangtag FSC Certified (Style 1),KindNesta,hangtags,FSC Hangtags,Recycled paper Hangtag FSC Certified,Fsc Certified|FSC certified paper/board|Contains recycled content|Supplied in 3000 Pcs,Recycled paper Hangtag FSC Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): FSC certified paper/board; Recycled feedstock.,Recycled paper Hangtag FSC Certified,,,/images/products/psp/psp-007.png,/images/products/psp/psp-007.png,Style,Style 1,72,FSC certified paper/board; Recycled feedstock,fsc-certified|recycled,fsc-certified|recycled|hangtags|hangtags|fsc hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.063,EUR,ex-works,piece,3000 Pcs,3000,Recycled paper Hangtag FSC Certified,Hangtags,FALSE
psp-008,parent-hangtags-002,PSP-008,Hangtags — Recycled paper Hangtag FSC Certified (Style 2),KindNesta,hangtags,FSC Hangtags,Recycled paper Hangtag FSC Certified,Fsc Certified|FSC certified paper/board|Contains recycled content|Supplied in 3000 Pcs,Recycled paper Hangtag FSC Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): FSC certified paper/board; Recycled feedstock.,Recycled paper Hangtag FSC Certified,,,/images/products/psp/psp-008.png,/images/products/psp/psp-008.png,Style,Style 2,72,FSC certified paper/board; Recycled feedstock,fsc-certified|recycled,fsc-certified|recycled|hangtags|hangtags|fsc hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.096,EUR,ex-works,piece,3000 Pcs,3000,Recycled paper Hangtag FSC Certified,Hangtags,FALSE
psp-009,parent-hangtags-002,PSP-009,Hangtags — Recycled paper Hangtag FSC Certified (Style 3),KindNesta,hangtags,FSC Hangtags,Recycled paper Hangtag FSC Certified,Fsc Certified|FSC certified paper/board|Contains recycled content|Supplied in 3000 Pcs,Recycled paper Hangtag FSC Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): FSC certified paper/board; Recycled feedstock.,Recycled paper Hangtag FSC Certified,,,/images/products/psp/psp-009.png,/images/products/psp/psp-009.png,Style,Style 3,72,FSC certified paper/board; Recycled feedstock,fsc-certified|recycled,fsc-certified|recycled|hangtags|hangtags|fsc hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.052,EUR,ex-works,piece,3000 Pcs,3000,Recycled paper Hangtag FSC Certified,Hangtags,FALSE
psp-010,parent-hangtags-002,PSP-010,Hangtags — Recycled paper Hangtag FSC Certified (Style 4),KindNesta,hangtags,FSC Hangtags,Recycled paper Hangtag FSC Certified,Fsc Certified|FSC certified paper/board|Contains recycled content|Supplied in 3000 Pcs,Recycled paper Hangtag FSC Certified. Part of the KindNesta hangtags range. Kindness Score notes (provisional): FSC certified paper/board; Recycled feedstock.,Recycled paper Hangtag FSC Certified,,,/images/products/psp/psp-010.png,/images/products/psp/psp-010.png,Style,Style 4,72,FSC certified paper/board; Recycled feedstock,fsc-certified|recycled,fsc-certified|recycled|hangtags|hangtags|fsc hangtags,psp-001|psp-002|psp-003|psp-004,FALSE,TRUE,0.057,EUR,ex-works,piece,3000 Pcs,3000,Recycled paper Hangtag FSC Certified,Hangtags,FALSE
